epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.009,1.24762,2.70756,1.73539,0.00174,0.41019,0.19053,0.03584,1.56561,4.32769,1.66788,0.000464425,0.000464425,0.000464425
2,224.314,1.18937,2.03068,1.67433,0.0029,0.73786,0.0446,0.01413,2.01936,4.4425,1.8608,0.000909713,0.000909713,0.000909713
3,357.321,1.2264,1.98275,1.67843,0.25101,0.04406,0.06134,0.01897,2.39428,4.16023,2.12555,0.00132356,0.00132356,0.00132356
4,468.389,1.21166,1.75556,1.68086,0.13538,0.07282,0.05567,0.024,2.25697,4.78195,2.21211,0.00128753,0.00128753,0.00128753
5,579.344,1.21691,1.73578,1.67289,0.07914,0.0534,0.03701,0.01689,2.15146,4.13372,2.02869,0.00124037,0.00124037,0.00124037
6,689.778,1.1714,1.50254,1.61553,0.21923,0.3568,0.11599,0.04282,2.09521,3.25994,1.9514,0.00119322,0.00119322,0.00119322
7,799.398,1.19697,1.51461,1.63466,0.64458,0.15534,0.10893,0.04978,2.28522,6.13617,2.15317,0.00114606,0.00114606,0.00114606
8,907.818,1.16437,1.43128,1.6059,0.1889,0.37885,0.11162,0.04748,2.41294,3.3012,2.30309,0.0010989,0.0010989,0.0010989
9,1017.82,1.11067,1.3719,1.57694,0.264,0.33252,0.17347,0.07739,2.32787,3.60546,2.22679,0.00105174,0.00105174,0.00105174
10,1126.76,1.10757,1.28758,1.55739,0.39369,0.5534,0.26234,0.11798,2.34867,3.24323,2.28392,0.00100459,0.00100459,0.00100459
11,1235.47,1.05605,1.23541,1.50901,0.1946,0.16019,0.17584,0.0719,2.0695,3.06396,2.00295,0.00095743,0.00095743,0.00095743
12,1343.93,1.0668,1.18938,1.52923,0.16202,0.1165,0.11086,0.05965,2.07088,3.17555,1.9858,0.000910273,0.000910273,0.000910273
13,1452.27,1.06113,1.21352,1.53119,0.36463,0.34191,0.18019,0.10268,2.12188,3.5585,2.04774,0.000863116,0.000863116,0.000863116
14,1561.38,1.00444,1.10246,1.47007,0.49317,0.65534,0.39811,0.12824,2.19426,2.59549,1.96764,0.000815959,0.000815959,0.000815959
15,1670.65,1.01627,1.09247,1.48444,0.58252,0.30434,0.39964,0.24192,2.16668,2.92848,1.96642,0.000768802,0.000768802,0.000768802
16,1790.29,0.97859,1.02104,1.44545,0.59044,0.66019,0.41133,0.17974,2.15999,2.35334,1.96489,0.000721645,0.000721645,0.000721645
17,1956.39,0.95541,0.97411,1.42079,0.83171,0.56664,0.62755,0.43561,2.15353,2.85034,1.97926,0.000674488,0.000674488,0.000674488
18,2125.77,0.94135,0.9282,1.41352,0.22085,0.43932,0.21319,0.09668,2.0927,2.39016,1.97565,0.000627331,0.000627331,0.000627331
19,2235.69,0.90426,0.89132,1.38687,0.68991,0.57767,0.71153,0.23666,2.03315,2.37489,1.89241,0.000580174,0.000580174,0.000580174
20,2348.61,0.89639,0.91382,1.38887,0.36523,0.41547,0.27339,0.13052,2.06434,2.26374,1.93979,0.000533017,0.000533017,0.000533017
21,2462.43,0.81662,0.78206,1.44151,0.70838,0.54361,0.43873,0.17279,2.11092,2.79453,1.97941,0.00048586,0.00048586,0.00048586
22,2573.29,0.77191,0.68724,1.38585,0.48595,0.70612,0.43458,0.23746,1.94882,2.20618,1.77114,0.000438703,0.000438703,0.000438703
23,2683.72,0.72998,0.68487,1.37124,0.69359,0.63107,0.54708,0.34321,1.91939,2.22073,1.73695,0.000391546,0.000391546,0.000391546
24,2794.66,0.72608,0.61795,1.3477,0.77446,0.63107,0.56216,0.32969,2.00086,2.30186,1.83016,0.000344389,0.000344389,0.000344389
25,2905.95,0.67984,0.56211,1.296,0.81846,0.61422,0.55536,0.32504,1.95201,2.59874,1.79473,0.000297232,0.000297232,0.000297232
26,3018.35,0.66939,0.54181,1.30714,0.76059,0.64563,0.58554,0.32382,1.87695,2.20348,1.76771,0.000250075,0.000250075,0.000250075
27,3127.88,0.6709,0.54427,1.29092,0.52422,0.72993,0.51851,0.28029,1.87436,1.95356,1.78613,0.000202918,0.000202918,0.000202918
28,3236.91,0.61339,0.49669,1.2661,0.80292,0.64082,0.59147,0.33035,1.90784,2.12083,1.79186,0.000155761,0.000155761,0.000155761
29,3348.25,0.58901,0.48449,1.21896,0.78318,0.63592,0.59624,0.36486,1.91376,2.18369,1.80115,0.000108604,0.000108604,0.000108604
30,3459.98,0.57323,0.46874,1.2059,0.78873,0.65115,0.60603,0.35632,1.88826,2.17621,1.78283,6.1447e-05,6.1447e-05,6.1447e-05
